_id	merchantId	customerId	status	type	txSubStatus	code	currId	quoteCurrCode	isSettled	referenceId	billingSessionId	paymentDetails.payMethod	paymentDetails.pgCode	paymentDetails.pgProvider	paymentDetails.payMethodIdentifier	paymentDetails.payMethodBeneficiary	paymentDetails.upiChannel	paymentDetails.paymentId	paymentDetails.BankName	paymentDetails.CardName	paymentDetails.upiAppName	paymentDetails.sourceDevice	paymentDetails.sourceOS	paymentDetails.sourcePlatform	paymentDetails.payMethodGroup	meta.param1	meta.param2	meta.param3	remark	txSubType	gstInclusive	isMandate	isBanned	createdDate	updatedDate	failedInfo.failedState	failedInfo.responseCode	referenceNo	isDirectPacbMerchant	quoteAmt	quoteAmount	totalTax	amount	totalAmount	txFee	txQuoteFee	txCost	txCostQuoteFee	rrFee	rrQuoteFee	settleAmount	settleQuoteAmount	fxQuote	mandateRegFee	mandateRegQuoteFee	mandateExcQuoteFee	mandateExecFee	mandateNotifyQuoteFee	mandateNotifyFee	midMandateRegFee	midMandateExecFee	subscriptionId	successDate	failedDate	settleId	refund_txnId	refund_initiatedDate	refund_successDate	refund_status	chargeback_txnId	chargeback_initiatedDate	chargeback_successDate	chargeback_status	depositSuccessDate	banDate	email	customerName	returnUrl	pendingUrl	successUrl	failedUrl	legalEntityCode
tx_1001	MERCH_AMAZON	CUST_9912	SUCCESS	PAYMENT	SETTLED	00	INR	INR	true	REF_AMZ_881	BILLSESS_01	UPI	PG_RZP	RAZORPAY	amzn@upi	Transact Bridge Settler	PHONEPE	PAY_RZP_99121	HDFC Bank		PhonePe	Mobile	iOS	APP	UPI	order_12	ref_9		Order settled successfully	INSTANT	true	false	false	2026-09-17 10:04:12	2026-09-17 10:04:15			RN_AMZ_01	true	1450.00	1450.00	261.00	1450.00	1450.00	14.50	14.50	8.20	8.20	0.00	0.00	1435.50	1435.50	1.0	0	0	0	0	0	0	0	0		2026-09-17 10:04:15		SETTL_001									2026-09-17 10:04:15		rahul.sharma@example.com	Rahul Sharma	https://amazon.in/ret	https://amazon.in/pend	https://amazon.in/succ	https://amazon.in/fail	IN_CORP_01
tx_1002	MERCH_AMAZON	CUST_4421	SUCCESS	PAYMENT	SETTLED	00	INR	INR	true	REF_AMZ_882	BILLSESS_02	CREDIT_CARD	PG_PAYU	PAYU	411122******1234	Transact Bridge Settler		PAY_PYU_44122	ICICI Bank	Visa Signature		Desktop	macOS	WEB	CARD	order_13			Order completed	STANDARD	true	false	false	2026-09-17 10:12:30	2026-09-17 10:12:35			RN_AMZ_02	true	3890.00	3890.00	700.20	3890.00	3890.00	58.35	58.35	32.10	32.10	0.00	0.00	3831.65	3831.65	1.0	0	0	0	0	0	0	0	0		2026-09-17 10:12:35		SETTL_001									2026-09-17 10:12:35		priya.k@example.com	Priya Kapoor	https://amazon.in/ret	https://amazon.in/pend	https://amazon.in/succ	https://amazon.in/fail	IN_CORP_01
tx_1003	MERCH_SWIGGY	CUST_7811	SUCCESS	PAYMENT	SETTLED	00	INR	INR	true	REF_SWG_101	BILLSESS_03	UPI	PG_CASHFREE	CASHFREE	swiggy@okaxis	Transact Bridge Settler	GPAY	PAY_CF_7712	Axis Bank		Google Pay	Mobile	Android	APP	UPI	order_sw_99			Food order paid	INSTANT	true	false	false	2026-09-17 10:18:45	2026-09-17 10:18:48			RN_SWG_01	true	450.00	450.00	81.00	450.00	450.00	4.50	4.50	2.10	2.10	0.00	0.00	445.50	445.50	1.0	0	0	0	0	0	0	0	0		2026-09-17 10:18:48		SETTL_001									2026-09-17 10:18:48		arun.v@example.com	Arun Verma	https://swiggy.com/ret	https://swiggy.com/pend	https://swiggy.com/succ	https://swiggy.com/fail	IN_CORP_01
tx_1004	MERCH_SWIGGY	CUST_9021	FAILED	PAYMENT	DROPPED	E104	INR	INR	false	REF_SWG_102	BILLSESS_04	UPI	PG_CASHFREE	CASHFREE	swiggy@oksbi	Transact Bridge Settler	PAYTM	PAY_CF_7719	State Bank of India		Paytm UPI	Mobile	Android	APP	UPI	order_sw_100			Bank gateway connection timeout	INSTANT	true	false	false	2026-09-17 10:22:10	2026-09-17 10:22:45	BANK_DOWNTIME	ISSUER_TIMEOUT	RN_SWG_02	true	620.00	620.00	111.60	620.00	620.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.0	0	0	0	0	0	0	0	0			2026-09-17 10:22:45												sneha.r@example.com	Sneha Roy	https://swiggy.com/ret	https://swiggy.com/pend	https://swiggy.com/succ	https://swiggy.com/fail	IN_CORP_01
tx_1005	MERCH_UBER	CUST_3190	SUCCESS	PAYMENT	SETTLED	00	INR	INR	true	REF_UBR_551	BILLSESS_05	DEBIT_CARD	PG_RZP	RAZORPAY	524188******9012	Transact Bridge Settler		PAY_RZP_33190	Kotak Mahindra Bank	Mastercard Platinum		Mobile	iOS	APP	CARD	trip_90			Airport ride fare	INSTANT	true	false	false	2026-09-17 10:29:15	2026-09-17 10:29:19			RN_UBR_01	true	840.00	840.00	151.20	840.00	840.00	8.40	8.40	4.20	4.20	0.00	0.00	831.60	831.60	1.0	0	0	0	0	0	0	0	0		2026-09-17 10:29:19		SETTL_001									2026-09-17 10:29:19		manish.g@example.com	Manish Gupta	https://uber.com/ret	https://uber.com/pend	https://uber.com/succ	https://uber.com/fail	IN_CORP_01
tx_1006	MERCH_UBER	CUST_5521	FAILED	PAYMENT	DECLINED	E201	INR	INR	false	REF_UBR_552	BILLSESS_06	CREDIT_CARD	PG_RZP	RAZORPAY	431288******4419	Transact Bridge Settler		PAY_RZP_33199	HDFC Bank	Visa Regalia		Mobile	Android	APP	CARD	trip_91			Card issuer declined: Insufficient Balance	INSTANT	true	false	false	2026-09-17 10:34:02	2026-09-17 10:34:08	INSUFFICIENT_FUNDS	BALANCE_EXCEEDED	RN_UBR_02	true	1250.00	1250.00	225.00	1250.00	1250.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.0	0	0	0	0	0	0	0	0			2026-09-17 10:34:08												vikas.j@example.com	Vikas Jain	https://uber.com/ret	https://uber.com/pend	https://uber.com/succ	https://uber.com/fail	IN_CORP_01
tx_1007	MERCH_FLIPKART	CUST_6619	SUCCESS	PAYMENT	SETTLED	00	INR	INR	true	REF_FK_889	BILLSESS_07	NET_BANKING	PG_BILLDESK	BILLDESK	NB_HDFC	Transact Bridge Settler		PAY_BD_6612	HDFC NetBanking			Desktop	Windows	WEB	NET_BANKING	ord_fk_120			Laptop accessories purchased	STANDARD	true	false	false	2026-09-17 10:41:20	2026-09-17 10:41:50			RN_FK_01	true	5400.00	5400.00	972.00	5400.00	5400.00	54.00	54.00	28.00	28.00	0.00	0.00	5346.00	5346.00	1.0	0	0	0	0	0	0	0	0		2026-09-17 10:41:50		SETTL_001									2026-09-17 10:41:50		deepak.s@example.com	Deepak Saxena	https://flipkart.com/ret	https://flipkart.com/pend	https://flipkart.com/succ	https://flipkart.com/fail	IN_CORP_01
tx_1008	MERCH_NETFLIX	CUST_1109	SUCCESS	MANDATE	SETTLED	00	INR	INR	true	REF_NFLX_01	BILLSESS_08	CREDIT_CARD	PG_STRIPE	STRIPE	400000******0002	Transact Bridge Settler		PAY_ST_1109	Citibank	Visa Platinum		Server	Linux	API	CARD	sub_nflx_4k			Monthly 4K Subscription recurring	RECURRING	true	true	false	2026-09-17 10:45:00	2026-09-17 10:45:04			RN_NF_01	true	649.00	649.00	116.82	649.00	649.00	12.98	12.98	6.50	6.50	0.00	0.00	636.02	636.02	1.0	0	0	0	0	0	0	0	0	SUB_NFLX_99	2026-09-17 10:45:04		SETTL_001									2026-09-17 10:45:04		ananya.m@example.com	Ananya Mishra	https://netflix.com/ret	https://netflix.com/pend	https://netflix.com/succ	https://netflix.com/fail	IN_CORP_01
tx_1009	MERCH_ZOMATO	CUST_8832	FAILED	PAYMENT	DECLINED	E303	INR	INR	false	REF_ZOM_331	BILLSESS_09	UPI	PG_RZP	RAZORPAY	zomato@upi	Transact Bridge Settler	PAYTM	PAY_RZP_8832	Axis Bank		Paytm UPI	Mobile	Android	APP	UPI	order_zm_44			User entered incorrect MPIN 3 times	INSTANT	true	false	false	2026-09-17 10:51:30	2026-09-17 10:51:42	3DS_AUTH_FAILED	INCORRECT_PIN	RN_ZM_01	true	390.00	390.00	70.20	390.00	390.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.0	0	0	0	0	0	0	0	0			2026-09-17 10:51:42												kavita.p@example.com	Kavita Patel	https://zomato.com/ret	https://zomato.com/pend	https://zomato.com/succ	https://zomato.com/fail	IN_CORP_01
tx_1010	MERCH_ZOMATO	CUST_9910	SUCCESS	PAYMENT	SETTLED	00	INR	INR	true	REF_ZOM_332	BILLSESS_10	UPI	PG_RZP	RAZORPAY	zomato@okicici	Transact Bridge Settler	GPAY	PAY_RZP_9910	ICICI Bank		Google Pay	Mobile	iOS	APP	UPI	order_zm_45			Lunch order settled	INSTANT	true	false	false	2026-09-17 10:55:10	2026-09-17 10:55:14			RN_ZM_02	true	780.00	780.00	140.40	780.00	780.00	7.80	7.80	3.90	3.90	0.00	0.00	772.20	772.20	1.0	0	0	0	0	0	0	0	0		2026-09-17 10:55:14		SETTL_001									2026-09-17 10:55:14		rohit.b@example.com	Rohit Bajaj	https://zomato.com/ret	https://zomato.com/pend	https://zomato.com/succ	https://zomato.com/fail	IN_CORP_01
